Name,Origin_Season,Origin_League,Origin_Team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Debut_Season,PL_Team,PL_Performance,Season_Control
Josh Maja,1920,FRA-Ligue 1,Bordeaux,1.0241820768136558,0.44434423066919426,0.16242401137852652,2021.0,Fulham,0.3337453646477132,2019
Josko Gvardiol,2223,GER-Bundesliga,RasenBallsport Leipzig,0.04153207198892478,0.07293410922422572,0.025588216485277704,2324.0,Manchester City,0.19271948608137046,2022
José Holebas,1415,ITA-Serie A,Roma,0.08763388510223953,0.023712624923599032,0.05580567080117653,1516.0,Watford,0.0,2014
José Ángel Crespo,1415,ESP-La Liga,Cordoba,0.0,0.01823112405544335,0.04968546243254688,1516.0,Aston Villa,0.0,2014
João Cancelo,1819,ITA-Serie A,Juventus,0.18283392585068564,0.08520174864726875,0.1811048224068887,1920.0,Manchester City,0.0,2018
João Félix,2021,ESP-La Liga,Atletico Madrid,0.693196405648267,0.2493334382973296,0.24324676027911238,2223.0,Chelsea,0.3777544596012592,2020
João Moutinho,1718,FRA-Ligue 1,Monaco,0.22491967154587647,0.028460785914152614,0.16986820986444548,1819.0,Wolverhampton Wanderers,0.26531280707500815,2017
João Mário,1617,ITA-Serie A,Inter,0.3601800900450225,0.2167615644249873,0.20486364638215754,1718.0,West Ham,0.26036644165863065,2016
João Pedro,1819,ITA-Serie A,Cagliari,0.3127413127413127,0.24254403640174496,0.11661051475878043,1920.0,Watford,0.0,2018
João Pedro,2021,ITA-Serie A,Cagliari,0.5224564619615032,0.26076498524201347,0.14563071542341813,2324.0,Brighton,0.5330700888450147,2020
Juan Cuadrado,1415,ITA-Serie A,Fiorentina,0.49484536082474223,0.3741316539571457,0.13539465641622075,1516.0,Chelsea,0.0,2014
Juan Iturbe,1415,ITA-Serie A,Roma,0.1939655172413793,0.23086834578485838,0.08614216240700977,1516.0,Bournemouth,0.0,2014
Juanmi,1415,ESP-La Liga,Malaga,0.3202846975088968,0.2998019007591405,0.08972729044200793,1516.0,Southampton,0.0,2014
Justin Kluivert,2223,ESP-La Liga,Valencia,0.3716448726772195,0.3635263338067145,0.16946081609220973,2324.0,Bournemouth,0.35485460818137016,2022
Jéremy Doku,2223,FRA-Ligue 1,Rennes,0.5638214565387627,0.20567269568435828,0.3136719760945185,2324.0,Manchester City,0.6126237623762376,2022
Jérémy Pied,1516,FRA-Ligue 1,Nice,0.0911854103343465,0.024533437672538235,0.11780486343071817,1617.0,Southampton,0.0,2015
Kai Havertz,1920,GER-Bundesliga,Bayer Leverkusen,0.6566680178354276,0.33933772132054335,0.30221357314957265,2021.0,Chelsea,0.41365725541694026,2019
Kalidou Koulibaly,2021,ITA-Serie A,Napoli,0.0,0.039793239909798495,0.012095235195516137,2223.0,Chelsea,0.14925373134328357,2020
Kamil Grosicki,1516,FRA-Ligue 1,Rennes,0.7109940750493746,0.2820455917746437,0.18551750351393437,1617.0,Hull,0.23580786026200876,2015
Kamil Grosicki,1617,FRA-Ligue 1,Rennes,0.6415478615071283,0.27274622699499984,0.28207362898817007,2021.0,West Bromwich Albion,0.5960264900662251,2016
Kenny Tete,1920,FRA-Ligue 1,Lyon,0.08530805687203792,0.051276498028381745,0.12560001367005694,2021.0,Fulham,0.060687795010114634,2019
Kepa,1718,ESP-La Liga,Athletic Club,0.0,0.0,0.008589633305867513,1819.0,Chelsea,0.0,2017
Kevin Danso,1819,GER-Bundesliga,Augsburg,0.14457831325301204,0.029197409075785826,0.024253873401377572,1920.0,Southampton,0.33088235294117646,2018
Kevin De Bruyne,1415,GER-Bundesliga,Wolfsburg,0.8846657929226737,0.22777397670755029,0.4219545848633445,1516.0,Manchester City,0.7178464606181456,2014
Kevin Mbabu,2021,GER-Bundesliga,Wolfsburg,0.0547112462006079,0.03771120414568117,0.10377637516582627,2223.0,Fulham,0.6521739130434783,2020
Kevin Wimmer,1415,GER-Bundesliga,FC Cologne,0.0,0.005171627912204713,0.004919953091302884,1516.0,Tottenham,0.0,2014
Keylor Navas,2021,FRA-Ligue 1,Paris Saint Germain,0.0,0.0,0.0,2223.0,Nottingham Forest,0.0,2020
Kieran Trippier,2021,ESP-La Liga,Atletico Madrid,0.21782977006857604,0.004731287879958753,0.1423503521690089,2223.0,Newcastle United,0.21377672209026127,2020
Kiko Casilla,1718,ESP-La Liga,Real Madrid,0.0,0.0,0.0,2021.0,Leeds,0.0,2017
Kiko Femenía,1617,ESP-La Liga,Alaves,0.07197121151539385,0.008069660554810171,0.08891507789570062,1718.0,Watford,0.10452961672473868,2016
Konstantinos Mavropanos,2223,GER-Bundesliga,VfB Stuttgart,0.11805859204197638,0.1435998120847283,0.05317243612214603,2324.0,West Ham,0.060402684563758385,2022
Konstantinos Stafylidis,1617,GER-Bundesliga,Augsburg,0.15985790408525755,0.06744527455657509,0.05405429513301191,1718.0,Stoke,0.0,2016
Lamine Koné,1415,FRA-Ligue 1,Lorient,0.06666666666666667,0.02956199956436952,0.04195078319559495,1516.0,Sunderland,0.20485584218512898,2014
Lamine Koné,1516,FRA-Ligue 1,Lorient,0.0,0.0564038468584899,0.0019498529333260744,1617.0,Sunderland,0.03537735849056604,2015
Layvin Kurzawa,2021,FRA-Ligue 1,Paris Saint Germain,0.139426800929512,0.06472256976756174,0.14071539239157177,2223.0,Fulham,0.0,2020
Leon Bailey,2021,GER-Bundesliga,Bayer Leverkusen,0.7112970711297072,0.2728242701441673,0.2656560710720936,2223.0,Aston Villa,0.35450516986706054,2020
Leon Balogun,1718,GER-Bundesliga,Mainz 05,0.0,0.003050963218532954,0.0009246199268239439,1819.0,Brighton,0.15280135823429541,2017
Leroy Sané,1516,GER-Bundesliga,Schalke 04,0.5442764578833693,0.2563323109827083,0.18768367777954684,1617.0,Manchester City,0.4015616285554936,2015
Loris Karius,1516,GER-Bundesliga,Mainz 05,0.0,0.0,0.0,1617.0,Liverpool,0.0,2015
Lucas Digne,1718,ESP-La Liga,Barcelona,0.25641025641025644,0.041670975490258284,0.2248430147002905,1819.0,Everton,0.24258760107816715,2017
Lucas Moura,1617,FRA-Ligue 1,Paris Saint Germain,0.6255110384300899,0.34810781872961505,0.22418011006543556,1718.0,Tottenham,0.4326923076923077,2016
Lucas Paquetá,2021,FRA-Ligue 1,Lyon,0.547112462006079,0.29610689812757585,0.250394564773847,2223.0,West Ham,0.28519692168401994,2020
