Name,Origin_Season,Origin_League,team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Team,PL_Raw_GA,PL_Team_Avg_GA,Target_Relative_GA,Season_Control,Pre_PL_Expected_GA,Finishing_Overperf,League_Quality_Score
Dennis Praet,1819,ITA-Serie A,Sampdoria,0.1549053356282272,0.0713156941547194,0.136833129896303,Leicester,0.2402135231316726,0.3461415191766674,-0.1059279960449948,2018,0.20814882405102242,-0.05324348842279522,0.9
Didier Ndong,1516,FRA-Ligue 1,Lorient,0.0883507853403141,0.0471167700762582,0.0309490445874514,Sunderland,0.0357284636760619,0.1031452947917993,-0.0674168311157373,2015,0.0780658146637096,0.010284970676604499,0.8
Diego Carlos,2021,ESP-La Liga,Sevilla,0.0322349570200573,0.0533586092770932,0.0213578880236171,Aston Villa,0.0,0.2252782849402202,-0.2252782849402202,2020,0.0747164973007103,-0.042481540280653,1.0
Diego Llorente,1920,ESP-La Liga,Real Sociedad,0.0772532188841201,0.0563419977834552,0.0164179522184407,Leeds,0.0745033112582781,0.2927378495027209,-0.2182345382444428,2019,0.0727599500018959,0.004493268882224191,1.0
Diego Rico,1718,ESP-La Liga,Leganes,0.161507402422611,0.0596292074870012,0.1450750861733069,Bournemouth,0.0,0.2742334793372691,-0.2742334793372691,2017,0.2047042936603081,-0.0431968912376971,1.0
Dimitri Foulquier,1819,ESP-La Liga,Getafe,0.2477973568281938,0.0718978678988137,0.0830166262168322,Watford,0.0,0.1478569542640889,-0.1478569542640889,2018,0.1549144941156459,0.09288286271254789,1.0
Dimitri Payet,1415,FRA-Ligue 1,Marseille,0.6736088512853888,0.1195302679213451,0.386140579269854,West Ham,0.733695652173913,0.2815491459675905,0.4521465062063224,2014,0.5056708471911991,0.16793800409418969,0.8
Diogo Dalot,2021,ITA-Serie A,AC Milan,0.1682242990654205,0.0429385368860213,0.0805624581908232,Manchester United,0.1247689463955637,0.2583177132146204,-0.1335487668190566,2020,0.12350099507684449,0.044723303988576005,0.9
Divock Origi,1415,FRA-Ligue 1,Lille,0.460679385760819,0.2873486456478152,0.1466423315297259,Liverpool,0.8181818181818182,0.2962209389306125,0.5219608792512057,2014,0.4339909771775411,0.026688408583277923,0.8
Divock Origi,1718,GER-Bundesliga,Wolfsburg,0.3669724770642201,0.2887832868946801,0.0494906601043195,Liverpool,1.0084033613445378,0.408237919303508,0.6001654420410297,2017,0.3382739469989996,0.028698530065220496,1.0
